         Course             Faculty           Room       Day      Slot          Batch         Branch
          MC123                  SP          LT-03         4         1    BTech Sem-1            MnC
          MC113         PhD student          LT-01         4         5    BTech Sem-1            MnC
          MC123                  SP            107         5         4    BTech Sem-1            MnC
          MC113         PhD student          LT-02         5         5    BTech Sem-1            MnC
          SC223                  AT            203         1         1    BTech Sem-3             CS
          IT227                  SB            210         1         4    BTech Sem-3             CS
          SC223                  AT            108         2         1    BTech Sem-3             CS
          IT227                  SB            204         2         3    BTech Sem-3             CS
          CT204                  PK            204         2         4    BTech Sem-3             CS
          IT216                  SP            102         3         1    BTech Sem-3             CS
          IT227                  SB            206         3         2    BTech Sem-3             CS
          SC223                  AT            210         3         3    BTech Sem-3             CS
          SC223                  AT            212         4         2    BTech Sem-3             CS
          IT227                  SB            207         4         3    BTech Sem-3             CS
          IT227                  SB            106         5         1    BTech Sem-3             CS
          SC223                  AT            210         5         2    BTech Sem-3             CS
          IT216                  SP            202         5         3    BTech Sem-3             CS
          CT204                  HP            206         1         1    BTech Sem-3            ICT
          IT216                  PB            207         1         2    BTech Sem-3            ICT
          IT227                 AKM            109         1         5    BTech Sem-3            ICT
          CT204                  HP            202         2         2    BTech Sem-3            ICT
          IT216                  PB            003         2         4    BTech Sem-3            ICT
          IT227                 AKM            003         2         5    BTech Sem-3            ICT
          CT204                  HP            104         3         1    BTech Sem-3            ICT
          IT216                  PB          LT-03         3         2    BTech Sem-3            ICT
          CT204                  HP            202         4         1    BTech Sem-3            ICT
          IT216                  PB            108         4         5    BTech Sem-3            ICT
          CT204                  HP            103         5         3    BTech Sem-3            ICT
          IT216                  PB          LT-01         5         5    BTech Sem-3            ICT
          HM216                  SJ            107         1         3    BTech Sem-3   ICT, CS, MnC
          HM216                  SJ            102         3         4    BTech Sem-3   ICT, CS, MnC
          HM216                  SJ            205         4         4    BTech Sem-3   ICT, CS, MnC
          HM216                  SJ            106         5         4    BTech Sem-3   ICT, CS, MnC
          MC212                  RC            205         1         2    BTech Sem-3            MnC
          MC212                  RC            204         2         5    BTech Sem-3            MnC
          MC212                  RC            211         3         1    BTech Sem-3            MnC
          MC212                  RC            103         4         2    BTech Sem-3            MnC
          MC212                  RC            207         5         3    BTech Sem-3            MnC
          CT303                 DKG            110         1         2    BTech Sem-5             CS
          CT303                 DKG          LT-02         2         2    BTech Sem-5             CS
          CT303                  AJ            110         3         5    BTech Sem-5            ICT
          CT303                  AJ            103         4         4    BTech Sem-5            ICT
          CT303                  AJ            205         5         4    BTech Sem-5            ICT
          IT314                  ST            104         1         1    BTech Sem-5        ICT, CS
          IE411                  SS            003         1         3    BTech Sem-5        ICT, CS
          IT304                 PKS          LT-01         1         4    BTech Sem-5        ICT, CS
          IE407                 VSP            206         1         5    BTech Sem-5        ICT, CS
          IT304                 PKS            207         2         1    BTech Sem-5        ICT, CS
          IT314                  ST            209         2         3    BTech Sem-5        ICT, CS
          IE407                 VSP            105         2         4    BTech Sem-5        ICT, CS
          IE411                  SS            206         2         5    BTech Sem-5        ICT, CS
          IE411                  SS            108         3         1    BTech Sem-5        ICT, CS
          IT314                  ST            203         3         2    BTech Sem-5        ICT, CS
          IE407                 VSP          LT-03         3         3    BTech Sem-5        ICT, CS
          IT304                 PKS            206         3         4    BTech Sem-5        ICT, CS
          IE411                  SS          LT-02         4         1    BTech Sem-5        ICT, CS
          IT304                 PKS            204         4         2    BTech Sem-5        ICT, CS
          IT314                  ST            104         4         3    BTech Sem-5        ICT, CS
          IE407                 VSP            105         4         5    BTech Sem-5        ICT, CS
          IE407                 VSP            109         5         1    BTech Sem-5        ICT, CS
          IT314                  ST            205         5         2    BTech Sem-5        ICT, CS
          IE411                  SS          LT-02         5         3    BTech Sem-5        ICT, CS
          IT304                 PKS            003         5         5    BTech Sem-5        ICT, CS
          MC312                  MT            211         1         4    BTech Sem-5            MnC
          MC313                 PK3            110         1         5    BTech Sem-5            MnC
          MC313                 PK3            109         2         2    BTech Sem-5            MnC
          MC312                  MT            102         2         3    BTech Sem-5            MnC
          MC312                  MT            212         3         3    BTech Sem-5            MnC
          MC313                 PK3          LT-03         3         5    BTech Sem-5            MnC
          MC312                  MT            203         4         3    BTech Sem-5            MnC
          MC313                 PK3            202         4         4    BTech Sem-5            MnC
          MC312                  MT            211         5         1    BTech Sem-5            MnC
          MC313                 PK3            206         5         2    BTech Sem-5            MnC
